model,n_shots,accuracy_mean,accuracy_std,f1_mean,parse_rate,n_runs
DeepSeek R1 8B,10,0.0,,0.0,0.0667,1
Gemma 2 9B,0,0.7097,0.0047,0.684,0.5156,8
Gemma 2 9B,3,0.6861,0.0074,0.5336,0.8333,2
Gemma 2 9B,5,0.7226,0.0674,0.5736,0.6229,15
Gemma 2 9B,10,0.7124,0.0595,0.6979,1.0,15
Llama 3 8B,0,0.6059,0.1461,0.5418,1.0,60
Llama 3 8B,1,0.597,0.1487,0.5522,1.0,60
Llama 3 8B,3,0.6023,0.1689,0.5234,1.0,51
Llama 3 8B,5,0.6015,0.1784,0.5195,1.0,45
Llama 3 8B,10,0.6078,0.1776,0.524,1.0,45
Mistral 7B,0,0.6288,0.0064,0.6113,1.0,15
Mistral 7B,1,0.6044,0.046,0.5646,1.0,15
Mistral 7B,3,0.6051,0.0254,0.5721,1.0,15
Mistral 7B,5,0.5861,0.0172,0.5511,1.0,4
Mistral 7B,10,0.7667,0.0321,0.7578,1.0,12
Phi-3 3.8B,0,0.4608,0.1276,0.3747,1.0,49
Phi-3 3.8B,1,0.5853,0.1587,0.5533,0.9989,45
Phi-3 3.8B,3,0.6085,0.1648,0.5953,0.9999,45
Phi-3 3.8B,5,0.6205,0.1626,0.6085,0.9999,45
Phi-3 3.8B,10,0.5799,0.1518,0.5467,0.9994,45
Qwen 2.5 7B,0,0.6977,0.1303,0.7001,1.0,60
Qwen 2.5 7B,1,0.6751,0.1567,0.671,1.0,60
Qwen 2.5 7B,3,0.6893,0.1472,0.6793,1.0,60
Qwen 2.5 7B,5,0.6824,0.1574,0.6783,1.0,53
Qwen 2.5 7B,10,0.6647,0.1761,0.6681,1.0,45
